GeneID	Base mean	log2(FC)	StdErr	Wald-Stats	P-value	P-adj	Chromosome	Start	End	Strand	Feature	Gene name
FBgn0027279	2946.64213921217	-1.16269191876106	0.0860494833784508	-13.5118988878466	1.33044933164947e-41	8.85362859084581e-39	chrX	22487179	22508129	+	protein_coding	l(1)G0196
FBgn0035189	207.86310008807	2.35990537060597	0.182328597402876	12.9431444338459	2.56895527162481e-38	1.58743086105902e-35	chr3L	1203315	1204795	-	protein_coding	CG9119
FBgn0001226	1188.39103759586	1.55764685857826	0.12352182461844	12.6102967098312	1.85294108908689e-36	1.06865289077938e-33	chr3L	9384062	9385694	+	protein_coding	Hsp27
FBgn0040091	1090.94411316351	-1.46340061438376	0.116293333838335	-12.5837016283161	2.59575596734905e-36	1.40349280459604e-33	chr2R	22641785	22643917	-	protein_coding	Ugt317A1
FBgn0040099	858.740248668437	-1.63623036757018	0.13011886115998	-12.5748900119749	2.90203907510881e-36	1.4767964728686e-33	chr2L	7857076	7860120	+	protein_coding	lectin-28C
FBgn0023479	3098.55704032873	-1.43344793545971	0.115450180961227	-12.416160143925	2.13568391952065e-35	1.02643342154295e-32	chr3L	9074642	9092131	+	protein_coding	teq
FBgn0264753	114.967338028304	-2.43091707617884	0.196412549681414	-12.3765873419079	3.49907346974949e-35	1.59318339930541e-32	chr2R	19311147	19356525	-	protein_coding	Rgk1
FBgn0011260	196.142303063605	1.93650452759497	0.157112392264339	12.3256001623146	6.59506322544861e-35	2.8526945981678e-32	chr2R	16500177	16533459	+	protein_coding	Sema2a
FBgn0039419	1812.12278905736	-1.11684352842675	0.0912084866642419	-12.2449518599963	1.78783134308198e-34	7.36501378523915e-32	chr3R	26230247	26234700	+	protein_coding	CG12290
FBgn0262733	371.009528424049	1.82613315138052	0.15388479718666	11.8668847395331	1.7589621198161e-32	6.91671877205867e-30	chr3L	4592446	4626196	-	protein_coding	Src64B
FBgn0261552	6035.53705762537	-1.61734618602169	0.137034410361583	-11.8024821776816	3.78965374436226e-32	1.42540411054252e-29	chr3R	9417939	9455500	+	protein_coding	ps
FBgn0033913	5118.11723962841	-1.12623017296847	0.0969027092882728	-11.622277449623	3.1755642742596e-31	1.14465860569249e-28	chr2R	14219897	14230620	+	protein_coding	CG8468
FBgn0037754	218.39337298169	-1.96113655452063	0.170096247066585	-11.5295698073393	9.36102999662505e-31	3.23929082003213e-28	chr3R	9784652	9789323	+	protein_coding	CG8500
FBgn0085359	68.0989508465214	-2.60560460465336	0.226819622921011	-11.487562544625	1.52350033823748e-30	5.06915439465093e-28	chrX	19068274	19068973	-	protein_coding	CG34330
FBgn0024288	58.8431949734756	-2.55128405045888	0.224463183985549	-11.3661581608106	6.1641435985798e-30	1.97503726930792e-27	chr3R	31065252	31083407	+	protein_coding	Sox100B
FBgn0031150	803.838218739031	1.18389374390422	0.105149796828988	11.2591158481234	2.08843460695277e-29	6.45251706598158e-27	chrX	21053962	21082391	+	protein_coding	bves
FBgn0052407	192.857775362934	-1.80911695721286	0.160806335675624	-11.2502840737705	2.30847366502413e-29	6.8864157503875e-27	chr3L	5922054	5923567	+	protein_coding	CG32407
FBgn0051092	155.651206370697	1.88852456873264	0.16896837082543	11.1767933815482	5.29694757046434e-29	1.5274631144029e-26	chr3R	25698726	25740465	-	protein_coding	LpR2
FBgn0051363	7311.06808545643	0.927156624252321	0.0836911007518001	11.0783179564331	1.59847277806516e-28	4.46077032356184e-26	chr3R	11590385	11619906	-	protein_coding	Jupiter
FBgn0034010	525.879538634805	-1.33216262578507	0.122718232684658	-10.8554580410904	1.87862556017277e-27	5.07874678782956e-25	chr2R	15325502	15326386	-	protein_coding	CG8157
FBgn0283658	1334.55251816393	-1.08366060779285	0.0999864941741744	-10.8380698487651	2.27214190800247e-27	5.95645443822102e-25	chr2L	7426865	7430329	+	protein_coding	muc
FBgn0035147	19507.7643398384	-1.11827059735582	0.105190841340114	-10.630874162705	2.14096198508251e-26	5.44748886263199e-24	chr3L	648554	651311	+	protein_coding	Gale
FBgn0264437	133.415495049894	2.09110023656552	0.196838886380497	10.6234102164313	2.31930158402835e-26	5.73265085812264e-24	chr2L	8590369	8594489	-	ncRNA	lncRNA:CR43855
FBgn0261673	64.1286595544736	2.24691013732948	0.213566482400372	10.5208931292749	6.92143442153968e-26	1.66325914390944e-23	chr2R	12659496	12670219	-	protein_coding	nemy
FBgn0003748	1082.06931717803	1.03747160376921	0.0990577462211918	10.4734020644138	1.14454162907691e-25	2.67606206301199e-23	chr2R	21074017	21088945	+	protein_coding	Treh
FBgn0001224	583.230032924849	1.34216708732623	0.128414941385768	10.4517984655248	1.43772612193494e-25	3.27309702127873e-23	chr3L	9381881	9382765	+	protein_coding	Hsp23
FBgn0040827	213.809415969489	-1.65963297477024	0.159894461244355	-10.3795526239896	3.07211412377428e-25	6.8145793037875e-23	chr3L	9096876	9097494	+	protein_coding	CG13315
FBgn0037468	2974.70678827496	0.90952993215026	0.0879085327548144	10.346321382556	4.3487517555254e-25	9.40526285926256e-23	chr3R	7074858	7077981	+	protein_coding	CG1943
FBgn0261596	16579.9400664631	-1.04359181625768	0.101500042888388	-10.2816884265284	8.52213918105721e-25	1.79817136720307e-22	chr2R	22640525	22641419	-	protein_coding	RpS24
FBgn0283437	5777.06499152111	1.36812627419298	0.133482935695359	10.2494469953477	1.19022535777316e-24	2.45158085002276e-22	chr2R	17887219	17889973	-	protein_coding	PPO1
FBgn0037290	69.6307607595817	2.12228559245969	0.211628008332816	10.0283776669205	1.14380450709401e-23	2.30117506764425e-21	chr3R	4965444	4968485	+	protein_coding	CG1124
FBgn0016715	138.411376147527	-1.83162439606164	0.182685835408163	-10.0260887329845	1.17062244190072e-23	2.3016033511098e-21	chr3L	605164	606569	-	protein_coding	Reg-2
FBgn0039109	456.001011959663	-1.24225032558515	0.12435583506266	-9.98948159496661	1.69465674167542e-23	3.25788343827424e-21	chr3R	23723330	23731499	+	protein_coding	CG10365
FBgn0063649	584.060230873279	-1.14429138724014	0.119492368877005	-9.57627167319761	1.00611418082017e-21	1.89215082136419e-19	chr3R	16154981	16171766	+	protein_coding	CG6006
FBgn0050147	970.712398694494	-0.938934018963017	0.0982053470152212	-9.56092562676337	1.16708157996206e-21	2.14817505281952e-19	chr2R	20606880	20618217	-	protein_coding	Hil
FBgn0038149	1018.14231283321	1.00594332464638	0.105242768978196	9.5583129787738	1.19691785578475e-21	2.15719507716539e-19	chr3R	13398525	13401862	-	protein_coding	GILT1
FBgn0032405	78.4903385256246	1.8742407958477	0.199346046243668	9.40194616930977	5.35630167067926e-21	9.45660525572373e-19	chr2L	12063456	12066775	-	protein_coding	firl
FBgn0053307	1010.98028776145	-1.29014735261724	0.13762583949975	-9.37431050234999	6.96293670832571e-21	1.20472730927451e-18	chr2L	13839261	13841520	-	protein_coding	CG33307
FBgn0260011	88.6331651653228	1.81572338655292	0.194385146331411	9.34085459110781	9.55596627200817e-21	1.62095420037535e-18	chr2L	14047581	14048863	+	protein_coding	NimC4
FBgn0001137	453.066330601041	-1.25241339332349	0.134178700870067	-9.33392099642007	1.02025102515077e-20	1.69734454203449e-18	chr2L	8431085	8433598	-	protein_coding	grk
FBgn0259715	786.375853648377	-1.54827053412538	0.166417354383323	-9.30354012574386	1.3584562562762e-20	2.21735944774442e-18	chr2L	6395852	6397249	-	protein_coding	CG42369
FBgn0003137	4514.48884653499	0.864667460563616	0.0934278368562779	9.2549232611877	2.14384351265102e-20	3.43451670887851e-18	chr3R	28520664	28540324	-	protein_coding	Ppn
FBgn0261584	177.84495299026	-1.70334123395008	0.18544671456433	-9.18507096742989	4.11256047065057e-20	6.46868375119966e-18	chr2R	22941876	22945147	+	protein_coding	CG42694
FBgn0001225	408.564940985345	1.20992591299001	0.131933980706204	9.17069208791871	4.69991769131806e-20	7.2605335620701e-18	chr3L	9376417	9377427	-	protein_coding	Hsp26
FBgn0031322	393.266829304385	-1.30853970934356	0.142853579349838	-9.16000645765437	5.18942118525208e-20	7.87608467958171e-18	chr2L	1185756	1196807	+	protein_coding	CG5001
FBgn0024315	91.0209207850807	-1.78552526200994	0.195038900311118	-9.15471354258946	5.45022156438256e-20	8.12928737128854e-18	chr2R	16655322	16667675	-	protein_coding	Picot
FBgn0039464	829.742718107917	0.993489153232929	0.108957619424606	9.11812462936917	7.64354867581206e-20	1.12075151855e-17	chr3R	26949691	26958491	-	protein_coding	CG6330
FBgn0040271	1095.87445796674	0.908949022223699	0.100211460367952	9.0703101111017	1.18678756397626e-19	1.71114986932644e-17	chr3R	16310541	16339575	-	protein_coding	Sulf1
FBgn0051523	4689.99565752754	-0.754890110258642	0.084876103349655	-8.89402411829395	5.89348967187944e-19	8.35812772974247e-17	chr3R	4465420	4479207	-	protein_coding	CG31523
FBgn0033367	15104.0088463228	1.25379694399209	0.141213855521272	8.87871051579091	6.76398862533165e-19	9.43794606415228e-17	chr2R	9042260	9044709	-	protein_coding	PPO2
FBgn0002868	111.797258434109	-1.66083889782815	0.188200243822816	-8.82484987315835	1.09606744899218e-18	1.50509198432243e-16	chr3R	9783406	9784370	-	protein_coding	MtnA
FBgn0000406	263.086148623517	-1.64818798403157	0.188242582542137	-8.75565964817039	2.02913182596541e-18	2.74281553537918e-16	chr2L	16788773	16790721	-	protein_coding	Cyt-b5-r
FBgn0039257	568.174632091314	-1.01807431057967	0.117380278175628	-8.67329952188725	4.19775873264283e-18	5.58689396862971e-16	chr3R	24984383	25022867	+	protein_coding	tnc
FBgn0036985	1903.93933139776	-1.20371907956977	0.139218419935369	-8.64626304571324	5.32133703433623e-18	6.97498283091557e-16	chr3L	20413603	20424309	+	protein_coding	zye
FBgn0261800	37071.3338157107	-0.727402450788786	0.0841875627166246	-8.64026023935652	5.60851214068052e-18	7.24167739239212e-16	chr2L	7811437	7820771	+	protein_coding	LanB1
FBgn0265276	151.2594530435	1.53518830951064	0.177874851011802	8.63072154820118	6.09661395262234e-18	7.75614813296115e-16	chr3R	11765037	11779128	-	protein_coding	l(3)neo38
FBgn0001258	1507.25670392075	0.857376837986391	0.0998003604193632	8.59091925503751	8.62762505197306e-18	1.08170412064665e-15	chr3L	6259104	6262694	-	protein_coding	Ldh
FBgn0030237	1966.72530106885	-0.895733984324291	0.104485433134992	-8.57281208919358	1.00988213107209e-17	1.24807004512924e-15	chrX	10842204	10842995	+	protein_coding	CG15209
FBgn0262057	726.434535497277	-0.933872306218992	0.109660825435454	-8.51600653661559	1.65149515480505e-17	2.01226543439697e-15	chr3L	20317189	20320116	+	protein_coding	Spn77Ba
FBgn0031449	951.991001671026	-0.842177750173976	0.0999488751528516	-8.42608532498275	3.57421593418534e-17	4.29451972869964e-15	chr2L	2725673	2739830	+	protein_coding	CG31689
FBgn0063498	325.89377303059	-1.22028683983078	0.145021473835743	-8.41452515654971	3.94489612917521e-17	4.67497211143764e-15	chr2R	18399485	18400375	+	protein_coding	GstE2
FBgn0032004	957.687599856007	-1.07963950080834	0.129077208494873	-8.36429229759192	6.04768222194019e-17	7.07006741918981e-15	chr2L	8216850	8218017	-	protein_coding	CG8292
FBgn0267992	391.831546479157	-1.51539741336338	0.181500693223651	-8.34926515402374	6.8688977638411e-17	7.92304460733191e-15	chr2L	500872	502236	-	ncRNA	lncRNA:CR46259
FBgn0033635	2555.50758920745	1.07745907537583	0.129092456129494	8.34641393990536	7.03668737047258e-17	8.00978716341557e-15	chr2R	11436242	11442216	+	protein_coding	Prip
FBgn0031327	754.77772544817	1.10542569831711	0.13280641450116	8.32358664654304	8.53408409478452e-17	9.58809889662089e-15	chr2L	1240035	1243018	+	protein_coding	CG5397
FBgn0051642	105.814150926438	1.55653951094401	0.18855800468839	8.25496384264531	1.51948233723114e-16	1.68526175633161e-14	chr2L	6118511	6120522	+	protein_coding	CG31642
FBgn0030041	83.4773128346127	-1.80878654058215	0.219761580453208	-8.23067679460597	1.86158629767458e-16	2.03855481787124e-14	chrX	8467442	8469012	-	protein_coding	CG12116
FBgn0037239	762.656540125849	-0.862530076638874	0.104979815196462	-8.21615160042639	2.10137781992148e-16	2.27237744001759e-14	chr3R	4378599	4381210	+	protein_coding	Sfxn1-3
FBgn0039479	172.821357539012	1.29482305466198	0.158363452154753	8.1762744941723	2.92754649640111e-16	3.12669194325507e-14	chr3R	27075869	27082818	+	protein_coding	CG14257
FBgn0051038	694.926931057245	-0.915175635079623	0.112316315738289	-8.14819849693164	3.69385677039853e-16	3.89701889277045e-14	chr3R	29877058	29903231	+	protein_coding	CG31038
FBgn0263232	301.536196788606	1.16270197857927	0.143178489629021	8.12064704406271	4.63704772716889e-16	4.83314456478772e-14	chr3L	13965202	13973067	+	protein_coding	Nxf3
FBgn0037153	131.082272175729	1.43566774180718	0.177593100559772	8.08402881239178	6.26615181148416e-16	6.45339039537493e-14	chr3L	22136089	22247702	+	protein_coding	olf413
FBgn0031805	3023.09177383706	-0.869194684950025	0.107632871898539	-8.07555043007106	6.71729382173422e-16	6.83662457080268e-14	chr2L	6367881	6370190	+	protein_coding	Nepl4
FBgn0024491	870.622745651466	0.974297565338783	0.121429777322889	8.02354732767129	1.02734378874834e-15	1.03343617633278e-13	chr3R	16186155	16189564	-	protein_coding	Bin1
FBgn0034885	161.413779412121	1.33893941287616	0.169481084676198	7.90022919333014	2.78391052349746e-15	2.76823102744558e-13	chr2R	23607591	23614710	-	protein_coding	Eglp4
FBgn0052521	2940.91502601438	-0.809009255847689	0.102635937407385	-7.88231954891736	3.21358914947181e-15	3.15917724228189e-13	chrX	21205309	21281171	-	protein_coding	CG32521
FBgn0034389	114.90357820749	-1.53727223152543	0.196525064255944	-7.82227059609745	5.18789398028013e-15	5.04274953071949e-13	chr2R	18761757	18774824	+	protein_coding	Mctp
FBgn0000116	643.215027620601	1.06963558502349	0.138180260274701	7.74087111210435	9.87379534850232e-15	9.49091150665484e-13	chr3L	9048780	9066027	-	protein_coding	Argk
FBgn0027580	1308.41741012392	-0.872646332171713	0.114407900147486	-7.62750064503208	2.39348610672607e-14	2.27538992409749e-12	chr2R	9850702	9861543	-	protein_coding	PCB
FBgn0051195	919.475457472842	0.76753265742323	0.101170063394884	7.58655902415933	3.2851273880468e-14	3.08909098195575e-12	chr3R	20757268	20762369	-	protein_coding	CG31195
FBgn0032598	320.345350065653	0.997841833818132	0.131962539647676	7.56155372943147	3.98282832862942e-14	3.70488686784657e-12	chr2L	16738849	16742610	+	protein_coding	ChLD3
FBgn0051337	946.506556433139	-0.937343354729026	0.124677851531563	-7.51812245089684	5.55684467309654e-14	5.1140705603147e-12	chr3R	13543965	13545400	-	protein_coding	CG31337
FBgn0050069	1308.74586897614	-0.836193191734137	0.113323976773218	-7.37878439800529	1.59741265229633e-13	1.45465440579111e-11	chr2R	14185203	14198368	+	protein_coding	CG30069
FBgn0013763	28071.918814862	-0.665289145962188	0.0903084474555487	-7.36685398439226	1.74701649847322e-13	1.57431663836373e-11	chr2R	16691021	16693751	+	protein_coding	Idgf6
FBgn0034638	1759.16815971935	-0.861724384916828	0.117173996894114	-7.35422882003025	1.92032532571699e-13	1.71265303018326e-11	chr2R	21605675	21608125	-	protein_coding	CG10433
FBgn0261560	1799.02232933725	-0.844437390387009	0.115565379468599	-7.30701006019244	2.73152114400475e-13	2.41126422620256e-11	chr2L	3478433	3479612	+	protein_coding	Thor
FBgn0023549	188.177773216398	-1.2728178382172	0.175005065319941	-7.27303427412375	3.51501090859134e-13	3.07155145153774e-11	chrX	2189187	2205373	+	protein_coding	Mct1
FBgn0040398	4097.27860492211	-0.784549667249444	0.108563281833126	-7.22665761390104	4.95026037208188e-13	4.28247024788803e-11	chrX	1051524	1052631	+	protein_coding	CG14629
FBgn0036373	3781.40411583282	-0.957591714023225	0.132621354716553	-7.22049413587921	5.17990037712879e-13	4.43676417450903e-11	chr3L	13486796	13502492	+	protein_coding	Tgi
FBgn0036299	643.197204702289	0.825373329585342	0.114353630782358	7.2177273597567	5.28635661121421e-13	4.48355598466805e-11	chr3L	12530435	12533724	-	protein_coding	Tsf2
FBgn0004369	784.03180300416	-0.801610405136863	0.111339991389955	-7.19966289856549	6.03616037378973e-13	5.06978867899563e-11	chr3R	29377645	29487131	+	protein_coding	Ptp99A
FBgn0036684	975.889794975767	-0.797578674976601	0.111045989941794	-7.18241762169587	6.84893304355078e-13	5.69712689997671e-11	chr3L	16994716	17012565	-	protein_coding	CG3764
FBgn0040388	1476.68610889789	-0.930558136641403	0.129889078203791	-7.1642523721771	7.82122039655784e-13	6.44394072863065e-11	chrX	2444166	2470043	-	protein_coding	boi
FBgn0022160	1304.2754155394	-0.877857693644229	0.122732872719073	-7.15258817133354	8.51567976878487e-13	6.94991940375075e-11	chr2R	15857751	15862755	-	protein_coding	Gpo1
FBgn0051431	2335.62727795675	-0.697364944062362	0.0975309045173635	-7.15019457179554	8.66549846444878e-13	7.00609600149032e-11	chr3R	21870680	21873640	+	protein_coding	CG31431
FBgn0261284	51.4229233597556	1.55016451805926	0.217832232143603	7.11632297389919	1.10844383696975e-12	8.87884040150491e-11	chrX	6986485	6987188	+	protein_coding	bou
FBgn0035968	288.554844580581	0.988539299112492	0.139174806514627	7.10286095500051	1.22200336948378e-12	9.69867077926989e-11	chr3L	9203064	9208853	-	protein_coding	Slc45-1
FBgn0052625	150.210306514425	1.28952134374502	0.181678116373136	7.09783527861201	1.26726094750676e-12	9.96643132443725e-11	chrX	13756163	13756826	-	protein_coding	CG32625
FBgn0038528	155.784873264201	1.19951651966592	0.169264901308755	7.08662286387354	1.37424213666501e-12	1.07104222741343e-10	chr3R	17619099	17619688	+	protein_coding	CG14326
FBgn0037683	1454.77595585556	-0.818578600349926	0.115563209269436	-7.08338411095357	1.40676041727929e-12	1.08659681873957e-10	chr3R	9363304	9364838	+	protein_coding	CG18473
FBgn0030805	335.781015861799	0.902312539797559	0.12798266977697	7.05027127008665	1.78569320689497e-12	1.36708247193349e-10	chrX	16938243	16940873	-	protein_coding	wus
FBgn0031359	657.531575565407	-0.811298406923727	0.115108697154048	-7.0481069370282	1.81368238714406e-12	1.37633037992835e-10	chr2L	1716243	1724388	-	protein_coding	Rim2
FBgn0050463	43.1612480103141	1.58309828243893	0.224799745943665	7.04226010484752	1.89146310999255e-12	1.42287368387352e-10	chr2R	16673234	16732916	-	protein_coding	Pgant9
FBgn0028514	567.337262289506	-0.917612917948016	0.130393072981321	-7.03728270963801	1.96024880891456e-12	1.46190624533792e-10	chr2L	15923394	15926287	+	protein_coding	CG4793
FBgn0004396	2390.58517297746	0.998842449744633	0.14203143371637	7.0325450050675	2.02799859979987e-12	1.4995056313563e-10	chr3L	15535394	15553214	+	protein_coding	CrebA
FBgn0053516	706.839090739559	-0.80331523002055	0.114542386613347	-7.01325730825085	2.32832675854918e-12	1.70697921933975e-10	chr2L	2058789	2109878	-	protein_coding	dpr3
FBgn0000567	253.932072621603	-1.08652036164463	0.155096531986443	-7.00544588411301	2.46200483907536e-12	1.7898154506589e-10	chr3L	17558671	17619325	-	protein_coding	Eip74EF
FBgn0034438	73.6477679784184	1.40492230970346	0.200910388990763	6.99278079526316	2.69490409778633e-12	1.94280127916246e-10	chr2R	19367247	19373702	-	protein_coding	CG9416
FBgn0038198	62.108502781896	1.52384613926298	0.218684451579776	6.96824181259673	3.20926279553307e-12	2.29449028464104e-10	chr3R	14089516	14092425	+	protein_coding	Npc2b
FBgn0005593	33109.9137230787	-0.652795778089531	0.0940420113412185	-6.94153356334491	3.87866050606734e-12	2.75035180639251e-10	chr2L	10201003	10202321	+	protein_coding	RpL7
FBgn0032956	2852.49745246596	0.610216232693924	0.0879960457495857	6.93458697485617	4.07409691664408e-12	2.86544816470634e-10	chr2L	21658734	21663698	+	protein_coding	Cul2
FBgn0003502	1187.71003997491	0.681971320579973	0.0988604788065931	6.89832103599413	5.26207252879885e-12	3.67114431021281e-10	chr2L	8258372	8301079	-	protein_coding	Btk29A
FBgn0031374	2043.03737760421	-0.758969904646665	0.110256226596579	-6.88369199703969	5.83209019793474e-12	4.03627298418668e-10	chr2L	1884621	1944289	+	protein_coding	Wdr62
FBgn0043364	1143.9544715076	-1.00806960830468	0.146669315476851	-6.8730777465433	6.28312992245053e-12	4.31391721897774e-10	chr2L	476445	479688	-	protein_coding	cbt
FBgn0039714	2283.44380986059	-0.644122542955615	0.0937344100500781	-6.87178318625454	6.34042724099633e-12	4.31897921746923e-10	chr3R	29863700	29868895	-	protein_coding	Zip99C
FBgn0033426	365.363842027755	-0.924015357962837	0.134637362490385	-6.86299360646511	6.74322458371295e-12	4.55747155263287e-10	chr2R	9577426	9581847	+	protein_coding	CG1814
FBgn0028990	1327.84635438278	-0.719326363523289	0.105316121631232	-6.83016381900234	8.48177198142057e-12	5.68804724118367e-10	chr2L	6671064	6673347	-	protein_coding	Spn27A
FBgn0027515	443.036119142957	0.82326254931837	0.121657089067971	6.76707420525575	1.31412686651695e-11	8.67825307041079e-10	chr2L	7821150	7825350	+	protein_coding	CG7115
FBgn0004893	469.445955374178	-0.807778620372573	0.119356475000962	-6.76778214475641	1.30771463773838e-11	8.67825307041079e-10	chr2L	3771699	3784121	+	protein_coding	bowl
FBgn0037646	40.5200264626335	-1.55336139502422	0.229798319964869	-6.75967254791807	1.38303960378123e-11	9.064148191145e-10	chr3R	8980859	8982793	+	protein_coding	CAHbeta
FBgn0034718	488.368539791061	1.14240952178003	0.169038044429983	6.75829826139064	1.39621881978859e-11	9.0817210601437e-10	chr2R	22298213	22311937	-	protein_coding	wdp
FBgn0086365	3431.42386097618	-0.555093571453719	0.0822128602268499	-6.75190681752283	1.45914584200097e-11	9.42020199936599e-10	chr3R	24273028	24275728	+	protein_coding	Orct2
FBgn0028327	4062.11618448947	0.598320027684876	0.0887307702003605	6.74309516680432	1.55047578506295e-11	9.93567853079971e-10	chrX	9551139	9553750	-	protein_coding	l(1)G0320
FBgn0261238	905.950750098098	0.695633860987717	0.103202155940821	6.74049737281273	1.57845358448546e-11	9.96730070028006e-10	chr3R	7094595	7124185	-	protein_coding	Alh
FBgn0031703	88.7187395957919	-1.38801391833495	0.205893685340515	-6.74141082102349	1.56855999966702e-11	9.96730070028006e-10	chr2L	5339131	5342234	-	protein_coding	CG12512
FBgn0038476	1330.67950794971	0.65346518271357	0.0971899728374343	6.72358643217849	1.77305227096581e-11	1.11149820261777e-09	chr3R	17080243	17084781	+	protein_coding	kuk
FBgn0015371	368.773642351112	-0.922073291124122	0.137603930981889	-6.70092260115361	2.07107724258297e-11	1.27977780182752e-09	chr2R	15115235	15144783	+	protein_coding	chn
FBgn0086450	5554.41812549471	-0.550930053383311	0.0822120638707938	-6.70132858176587	2.06533038612719e-11	1.27977780182752e-09	chrX	9196807	9201820	-	protein_coding	su(r)
FBgn0003076	1514.58528761402	0.653325641383406	0.0975494027606353	6.69738227907477	2.12186034061718e-11	1.29269111314642e-09	chr3L	16126017	16128531	-	protein_coding	Pgm1
FBgn0259749	1379.07500882567	-0.665590193794705	0.0993781997165321	-6.69754730608166	2.11946630315399e-11	1.29269111314642e-09	chr2L	6468537	6473904	-	protein_coding	mmy
FBgn0033065	29.7436358354011	1.55531041332316	0.233145784165204	6.67097807018928	2.541041943794e-11	1.53724152837496e-09	chr2R	6173683	6176195	+	protein_coding	Cyp6w1
FBgn0039113	470.40127509901	0.815682511739234	0.122386475664317	6.6648092226832	2.65009371902886e-11	1.59208060856379e-09	chr3R	23760736	23763263	-	protein_coding	udt
FBgn0029801	1239.94294175484	-0.758165456982778	0.114218374879925	-6.63785890650099	3.18272291149832e-11	1.89887833843945e-09	chrX	5755573	5759751	+	protein_coding	CG15771
FBgn0043841	14976.7171075126	-0.652507318625704	0.0984690703455414	-6.62652055448444	3.43691635574108e-11	2.03649064339151e-09	chr2L	12403269	12423439	-	protein_coding	vir-1
FBgn0024984	117.679403305754	1.16848678234838	0.176703520221323	6.61269668473406	3.77381200701986e-11	2.22090120222645e-09	chrX	2187819	2188919	+	protein_coding	CG3457
FBgn0037680	433.787671171497	0.79386356819978	0.120105482774983	6.60971963858702	3.8504854456503e-11	2.23560735505508e-09	chr3R	9335169	9337459	+	protein_coding	pasi2
FBgn0028542	1161.57183491519	-0.933754126483174	0.141259952329471	-6.61018293638746	3.83845390238533e-11	2.23560735505508e-09	chr2L	13968279	13969976	-	protein_coding	NimB4
FBgn0040752	5094.89338433851	-0.800539766451338	0.121157987094203	-6.60740398261076	3.91117688213838e-11	2.25570608049194e-09	chr2R	14060455	14140902	-	protein_coding	Prosap
FBgn0266064	3270.44102679478	0.555417347318886	0.0840903507211745	6.60500690692242	3.97498811390854e-11	2.27620139129216e-09	chr3R	15141842	15147531	-	protein_coding	GlyS
FBgn0001124	1253.86350990139	0.60454758319537	0.0915412221265751	6.60410216459045	3.9993366255509e-11	2.27620139129216e-09	chr2R	16138351	16141928	+	protein_coding	Got1
FBgn0038805	745.126082058377	0.698204868054279	0.106163293365669	6.57670693814464	4.80981438442708e-11	2.7195885123973e-09	chr3R	20575244	20577010	-	protein_coding	TFAM
FBgn0004507	1809.71057208628	0.821301929587265	0.125456846601711	6.54648950483078	5.89052867747205e-11	3.30902360966303e-09	chr2L	2130812	2137296	+	protein_coding	GlyP
FBgn0036824	3111.34213085921	-0.608757874412332	0.0930862881626458	-6.53971585319499	6.16358240945392e-11	3.44007428543135e-09	chr3L	18893119	18898293	-	protein_coding	CG3902
FBgn0035150	2608.90160916783	0.543823390710604	0.0833930348577009	6.52120877527202	6.97430276242732e-11	3.86760853831787e-09	chr3L	654362	657971	+	protein_coding	Rev1
